mouse_ID;experimental_day;counts_live_bacteria_per_wet_g
ABX001;-7;7360000000.0
ABX002;-7;8600000000.0
ABX003;-7;1910000000.0
ABX004;-7;6920000000.0
ABX005;-7;10600000000.0
ABX006;-7;13300000000.0
ABX007;-7;515000000.0
ABX008;-7;506000000000.0
ABX009;-7;536000000.0
ABX010;-7;325000000.0
ABX011;-7;80200000000.0
ABX012;-7;57700000000.0
ABX013;-7;629000000.0
ABX014;-7;2370000000.0
ABX015;-7;1970000000.0
ABX016;-7;3780000000.0
ABX017;-7;434000000.0
ABX018;-7;47400000000.0
ABX019;-7;1660000000.0
ABX020;-7;65100000000.0
ABX021;-7;152000000.0
ABX022;-7;11200000000.0
ABX023;-7;38500000000.0
ABX024;-7;461000000.0
ABX025;-7;182000000.0
ABX026;-7;130000000000.0
ABX027;-7;172000000.0
ABX028;-7;2710000000.0
ABX029;-7;292000000.0
ABX030;-7;152000000000.0
ABX031;-7;5660000000.0
ABX032;-7;25300000000.0
ABX033;-7;1600000000.0
ABX034;-7;5320000000.0
ABX035;-7;10400000000.0
ABX036;-7;47400000000.0
ABX037;-7;3160000000.0
ABX038;-7;3910000000.0
ABX039;-7;181000000.0
ABX040;-7;409000000000.0
ABX041;-7;582000000.0
ABX042;-7;54700000000.0
ABX043;-7;14400000000.0
ABX044;-7;419000000.0
ABX045;-7;14800000000.0
ABX046;-7;646000000.0
ABX047;-7;588000000.0
ABX048;-7;7090000000.0
ABX049;-7;2040000000.0
ABX050;-7;73400000000.0
ABX051;-7;18100000000.0
ABX052;-7;420000000.0
ABX053;-7;23500000000.0
ABX054;-7;6490000000.0
ABX055;-7;81100000000.0
ABX056;-7;325000000000.0
ABX057;-7;188000000.0
ABX058;-7;2500000000.0
ABX059;-7;44100000000.0
ABX060;-7;24200000000.0
ABX061;-7;9010000000.0
ABX062;-7;269000000000.0
ABX063;-7;326000000.0
ABX064;-7;967000000.0
ABX001;-3;40.1
ABX002;-3;4230000.0
ABX003;-3;59.2
ABX004;-3;980000.0
ABX005;-3;59.5
ABX006;-3;22800000.0
ABX007;-3;305.0
ABX008;-3;2030000.0
ABX009;-3;302.0
ABX010;-3;9870000.0
ABX011;-3;46.0
ABX012;-3;2030000.0
ABX013;-3;82.1
ABX014;-3;760000.0
ABX015;-3;38.2
ABX016;-3;1140000.0
ABX017;-3;60.3
ABX018;-3;30600000.0
ABX019;-3;360.0
ABX020;-3;29100000.0
ABX021;-3;292.0
ABX022;-3;982000.0
ABX023;-3;51.0
ABX024;-3;2820000.0
ABX025;-3;317.0
ABX026;-3;36200000.0
ABX027;-3;51.9
ABX028;-3;15500000.0
ABX029;-3;102.0
ABX030;-3;48800000.0
ABX031;-3;49.2
ABX032;-3;819000.0
ABX033;-3;98.5
ABX034;-3;1580000.0
ABX035;-3;161.0
ABX036;-3;22000000.0
ABX037;-3;77.1
ABX038;-3;3990000.0
ABX039;-3;36.0
ABX040;-3;2250000.0
ABX041;-3;34.6
ABX042;-3;983000.0
ABX043;-3;129.0
ABX044;-3;5370000.0
ABX045;-3;102.0
ABX046;-3;1410000.0
ABX047;-3;41.7
ABX048;-3;5310000.0
ABX049;-3;63.2
ABX050;-3;8260000.0
ABX051;-3;69.9
ABX052;-3;3860000.0
ABX053;-3;34.7
ABX054;-3;7120000.0
ABX055;-3;135.0
ABX056;-3;39900000.0
ABX057;-3;360.0
ABX058;-3;19000000.0
ABX059;-3;94.6
ABX060;-3;21500000.0
ABX061;-3;89.8
ABX062;-3;10200000.0
ABX063;-3;349.0
ABX064;-3;18300000.0
ABX001;0;9770000000.0
ABX002;0;7.8
ABX003;0;12500000000.0
ABX004;0;1240.0
ABX005;0;9780000.0
ABX006;0;477.0
ABX007;0;481000000.0
ABX008;0;8450.0
ABX009;0;6640000000.0
ABX010;0;15800.0
ABX011;0;203000000.0
ABX012;0;114000.0
ABX013;0;350000000.0
ABX014;0;179.0
ABX015;0;38100000.0
ABX016;0;1210.0
ABX017;0;2300000000.0
ABX018;0;37.9
ABX019;0;3840000000.0
ABX020;0;97.8
ABX021;0;17500000000.0
ABX022;0;6.51
ABX023;0;20900000000.0
ABX024;0;89000.0
ABX025;0;1100000000.0
ABX026;0;55.5
ABX027;0;3820000.0
ABX028;0;58800.0
ABX029;0;71600000.0
ABX030;0;16.4
ABX031;0;14000000000.0
ABX032;0;10.6
ABX033;0;3130000.0
ABX034;0;11.1
ABX035;0;4570000.0
ABX036;0;704.0
ABX037;0;3300000000.0
ABX038;0;29.0
ABX039;0;1780000000.0
ABX040;0;11600.0
ABX041;0;942000000.0
ABX042;0;27.2
ABX043;0;577000000.0
ABX044;0;14.8
ABX045;0;14600000000.0
ABX046;0;31900.0
ABX047;0;1260000000.0
ABX048;0;16.7
ABX049;0;22200000000.0
ABX050;0;2350.0
ABX051;0;14700000000.0
ABX052;0;102000.0
ABX053;0;902000000.0
ABX054;0;21.9
ABX055;0;1180000000.0
ABX056;0;124000.0
ABX057;0;8520000.0
ABX058;0;10900.0
ABX059;0;1110000000.0
ABX060;0;2150.0
ABX061;0;130000000.0
ABX062;0;112.0
ABX063;0;57000000.0
ABX064;0;57100.0
ABX001;1;12300000.0
ABX002;1;4160.0
ABX003;1;19500000.0
ABX004;1;44.8
ABX005;1;38200000.0
ABX006;1;28.4
ABX007;1;2130000.0
ABX008;1;5.31
ABX009;1;38700000.0
ABX010;1;7.84
ABX011;1;1220000.0
ABX012;1;161.0
ABX013;1;611000.0
ABX014;1;1580.0
ABX015;1;759000.0
ABX016;1;323.0
ABX017;1;1170000.0
ABX018;1;25.3
ABX019;1;4940000.0
ABX020;1;75.0
ABX021;1;658000.0
ABX022;1;4340.0
ABX023;1;1260000.0
ABX024;1;16.1
ABX025;1;3130000.0
ABX026;1;3.13
ABX027;1;1450000.0
ABX028;1;59.9
ABX029;1;5530000.0
ABX030;1;19.4
ABX031;1;6460000.0
ABX032;1;52.5
ABX033;1;605000.0
ABX034;1;24.5
ABX035;1;470000.0
ABX036;1;471.0
ABX037;1;4210000.0
ABX038;1;1570.0
ABX039;1;6560000.0
ABX040;1;94.0
ABX041;1;13700000.0
ABX042;1;3.74
ABX043;1;26800000.0
ABX044;1;5420.0
ABX045;1;29600000.0
ABX046;1;101.0
ABX047;1;660000.0
ABX048;1;19.6
ABX049;1;1370000.0
ABX050;1;841.0
ABX051;1;1120000.0
ABX052;1;3040.0
ABX053;1;24500000.0
ABX054;1;185.0
ABX055;1;11000000.0
ABX056;1;12.0
ABX057;1;17600000.0
ABX058;1;540.0
ABX059;1;32100000.0
ABX060;1;9.72
ABX061;1;1140000.0
ABX062;1;5.11
ABX063;1;36300000.0
ABX064;1;19.3
